transaction_amount,transaction_date,merchant_id,customer_id,transaction_type,location,card_type,card_number,is_fraud
163.82,2022-12-08 16:43:27,936278f5-7a1f-4f5d-9bc7-6532f4a80192,706f2315-c643-4203-94b3-a023362d60ac,purchase,Port Carlos,debit,5446708485596493,1
45.73,2023-02-07 17:24:23,6b559d22-405d-4799-9b6b-164d78578840,f29fec6d-505c-4f59-9751-6d068ec05832,transfer,Noblebury,credit,4156148091388635,0
404.76,2023-09-01 22:20:28,03d54a36-15c6-4d43-bd15-aee3322b3ab7,e39b9e43-4988-4ae7-8570-9e6a2f4d38db,purchase,Crystalport,credit,4487358280558651,1
352.18,2022-12-18 06:07:19,d27660ad-a176-4978-a001-c92f2ba8b241,f3b0284b-d11d-445f-9da2-a98844ecb136,refund,New Judystad,debit,5221425798770832,0
229.75,2023-02-10 22:28:09,f5ec0073-c7e3-40a4-9a22-f328149a358d,c9c01d84-8e82-44be-ae82-31e6bee6cd61,refund,Lake Johnnyborough,credit,4086354456728414,1
130.23,2022-11-03 12:14:50,b221fdb8-33da-41df-9e36-00641bfb7647,16e40ba5-46bd-45be-95f1-28a06e2c634e,purchase,Pamelashire,credit,4659488087357961,1
393.86,2023-03-25 17:41:05,71046c25-e88e-4543-b820-126c87f9dbba,fc0bf6de-e74a-477f-a715-c6d68ba7eba9,purchase,Lake Heather,credit,4027960180816859,1
880.29,2022-11-30 14:14:44,5cfdc8cb-53d4-4b79-82ad-67d0a4c6a9b7,0e12314a-ec58-4d92-ae8c-e7f502ffe645,refund,Steeletown,debit,5294618938099253,1
280.88,2023-08-21 04:15:27,f2775e21-d6f6-467e-b269-d3fa337b5458,2bd17219-9863-4c62-a79f-e64ce3c29659,purchase,Huffton,credit,4976584490885233,0
984.75,2023-04-17 18:28:04,51d9f277-3ecd-4654-a57e-ee0f545cf0ae,42257d9b-a42b-43c4-ab90-ff31160b458c,purchase,Port Albert,debit,5909721335135093,1
937.97,2023-04-30 04:48:59,1f048818-f7ac-4c27-9896-c94592498188,53f1764f-2d76-4794-bc2b-6f2e5c0236eb,transfer,New Robinport,debit,5929858390510946,1
832.18,2023-08-05 16:09:25,ea9eb422-2734-4425-986d-079070214bb6,c3f835f6-fee4-4c19-ad7c-08f5490b0f48,transfer,Timothyshire,credit,4663665771836824,0
327.0,2022-11-27 02:38:21,011ea42b-74ad-4697-88b8-012e8691513f,d38ce85b-da50-462b-a765-372b1e1111db,purchase,Port David,credit,4545486294089250,0
687.87,2023-09-11 05:20:22,a6641a96-41da-48c2-a2a2-c61b5d28b68f,f6c156ca-ca65-4c9d-8bbe-d0fd56899a72,refund,Stephenland,credit,4762237779907200,0
670.0,2023-07-09 22:12:05,465367ea-b213-4f61-9b01-d763ba83230f,f6ab2c41-50a0-41e2-b0fb-59d5c0cafe4a,purchase,Port Angelaton,debit,5755741176003241,1
473.58,2023-03-04 17:51:04,bfc79800-b8cf-42b6-afa1-84c69ccaf773,75732ff7-e2cb-4cff-8996-e3d73ee83a44,purchase,Lewisfurt,credit,4450783694644872,1
383.33,2023-02-23 06:44:55,6bcb43ab-4ece-422a-9d3d-679dd41e9a09,281e0f23-b8f0-41fa-8ef2-1efdbf67e274,refund,Natalietown,debit,5224523598231444,0
861.5,2023-07-08 03:14:14,c06015f4-3c44-4068-904d-096ca433932b,40d08900-e4ea-4632-8b70-bd0c03108f08,transfer,Timothychester,debit,5457927364954738,0
196.91,2023-07-13 15:18:39,987e0764-886b-4136-9e47-2ec4abab313e,46676d4d-35b5-481d-8d8a-84f6ea9a6727,refund,East John,credit,4481594529055874,1
356.85,2022-10-20 13:21:00,553f0937-192d-4ede-81ae-cf23191b7554,50657563-b490-42e3-9f39-52bb4e019fa1,purchase,South Samuelhaven,credit,4659196226588774,1
857.01,2022-11-24 06:36:24,5d5547c5-70b1-4395-a3a0-45624f03f819,973be57d-4928-4ffc-9c3b-e9a3c9633096,transfer,Port Dana,debit,5909731822340929,1
208.47,2023-07-26 12:31:48,7c21a308-2844-4964-b059-d381f3d987f4,cb84abba-f766-47cb-84e4-9531de3c4af0,purchase,Anthonyburgh,credit,4308197637809516,1
510.98,2023-07-19 04:06:20,b488a08e-1d87-4b62-a41f-be1fd0b3de69,f8a7e131-5ca2-4e9a-ab36-13012e5b6e0a,refund,Brettborough,debit,5351389963625298,1
708.1,2022-11-04 13:49:24,c0940602-d590-4f7c-8fa0-6f8f49648804,ffe8464c-0d40-438a-b0e5-9d2d9f041332,purchase,Dennisfort,debit,5520189122415670,1
10.51,2023-01-06 08:53:03,e045a196-3169-463e-bfcc-c4efd7c85c80,d6e0bcbd-c4e2-41f9-ad3d-af7c60d5dd8c,purchase,Port Brianbury,credit,4871588959775875,1
858.94,2023-01-21 07:19:36,8cc7cf10-2363-4956-8e3d-c02c2e482106,faa2dc03-d751-4a53-90a6-264c69c7bd41,purchase,Caldwellburgh,credit,4245956057770255,0
259.9,2023-08-16 19:46:35,b9991c6a-c62a-43c6-8742-20de555e0e81,4fdd98ab-f703-4df4-bb00-e420800d9ef8,refund,South Lisatown,credit,4803050056353101,1
476.8,2023-09-04 23:12:58,2b4dee9c-360e-4864-8be6-26c08852ac3f,54fc3efd-6e7a-4bbd-a6fb-8ca5755769c3,refund,Port Connorside,credit,4153749737450464,0
868.46,2022-11-29 03:23:49,0cb75e78-7180-450a-a403-11eeb8ec0603,1772fbb8-f5e1-404f-9440-29ea92a215ac,refund,Costashire,debit,5729895460130328,0
280.81,2023-02-24 18:35:52,e09da807-d841-4aae-bf31-063a05a669e0,0e7f035e-b5be-4988-8359-9c30875c36c0,purchase,New Dustinport,credit,4297262213308364,1
771.77,2023-01-18 00:47:18,d33bd0e0-864d-4b55-bd14-1022f0e01f21,0e26edb7-d524-4a8f-8e0c-d755c4a9f0a6,refund,New Johnstad,debit,5170232545518176,0
694.26,2023-07-01 01:32:16,8fa63d13-7884-4874-a9b0-f8f37c5f7ccd,4fb01558-0450-4a38-94e1-0197e25e56f2,refund,New Catherine,credit,4103043813336721,1
722.2,2022-10-28 03:33:29,629b9d78-050f-4998-8c2c-dda7b2d83dff,e354b43c-cb01-4bba-a17d-1678501ac3a9,refund,South Scottshire,credit,4573640112848417,1
242.05,2023-01-17 03:16:46,d8f803c3-ac22-42e9-b3cc-7963f07aa5b0,bf340cf6-3563-4563-a8c3-8b15db59b506,purchase,Sethchester,debit,5439330219153079,1
739.35,2023-06-08 09:51:09,4a4552e2-cac2-4704-8b09-1beef91bb5cc,a0370e62-9310-4a2e-9d86-828eb752e73d,refund,Lake Erica,credit,4352563648905704,0
473.33,2022-12-07 03:53:07,97d41884-3744-4653-a79b-212648043dfc,96822fe3-ed5a-4671-ad14-19c607833601,transfer,Ryantown,debit,5741644760231770,1
150.04,2023-07-16 11:23:10,29893e7e-7f22-4956-ba7d-de3528c16528,d45aea16-091d-42c8-8f5c-bf0a6daa792c,purchase,Gabrielborough,credit,4546906445629953,1
774.0,2023-04-22 01:37:15,dec135ec-9811-4c73-ac96-8174eb27b775,3bc0f502-ba17-463c-ab54-c43118be9720,refund,Adamport,debit,5333419228507526,0
416.47,2023-04-17 12:03:37,0dc9a25e-c871-4858-aa21-78dffa790457,0f5712af-a119-42ec-ad70-a1c44e51bec8,refund,Cooperland,credit,4217241126128228,0
621.66,2023-06-25 22:19:13,3864d9d0-cbaa-471b-b226-f7723e2bc7f4,8ea278c2-f2d1-4f51-940c-511ede603439,purchase,Martinezchester,credit,4358167479370576,1
670.35,2023-05-24 19:57:59,846e1406-8334-4324-ba1a-454d2cb6cadc,97f5ebac-34b0-4179-94d7-e88027471da4,refund,Port James,credit,4758889151711705,0
152.16,2022-12-03 12:40:21,a18718d0-7464-40de-8d75-f55283d15a46,15119200-3e57-4ae6-9307-22cd382188cd,transfer,West Danny,credit,4012947169695835,0
961.3,2023-01-13 12:25:13,011c3a89-5954-4d7f-a8f6-c4c95ae2af93,3f1c581c-b162-49f0-ab25-f09d88521163,transfer,Danieltown,credit,4680406585714431,1
679.76,2022-12-18 05:33:42,cea9ab0f-2740-4a31-b3f6-b0c4be09ad30,cae2797d-3fdc-4a59-ad0c-43a37cb54d3e,refund,New Lindsay,credit,4819586373853531,1
718.17,2023-06-19 11:52:31,f22456db-3162-497f-b6cd-f2247c31679d,e84062e9-3258-41ac-8634-a0e241564a3d,transfer,West Francisco,debit,5258050980087702,0
248.98,2022-10-09 15:24:15,2d2130f6-f040-44b4-bfe0-66c7a18e5630,9ba9f2a9-b924-4854-8431-935948e9f121,transfer,Port Angela,credit,4028252525590853,1
831.09,2023-03-17 11:07:17,0969a5fd-1ebe-4146-88c0-a65aa17eda1f,769f6ffc-116c-4423-ae94-67b6f37f832c,transfer,Carrland,credit,4159923396615034,1
191.68,2022-11-30 02:33:37,946359da-38d5-4dd9-968d-8e086f37f49f,6a5d2783-27f2-4161-ad1d-520a6ea508ee,refund,North Deborah,credit,4331241406653630,1
967.32,2023-04-21 00:39:54,313eb5fa-d734-4f65-b449-788d98c9da8d,7242e4f7-c5e6-4c5e-84f5-5a2de2f030fc,refund,South Derek,credit,4307665150394904,1
656.69,2023-04-11 01:19:08,ee369cdd-650c-43e4-95d2-57604086b604,6eea4c8b-90d6-4280-a8ec-702ee02c27ef,transfer,South Coreyburgh,debit,5300202593827499,1
837.66,2023-07-22 18:24:38,b2fc4698-d73b-4c00-a5b2-ec99402b820d,998674b7-af65-47df-904b-358675cee697,transfer,Williamsberg,credit,4194226092710096,1
659.15,2023-06-20 09:24:43,8b436963-b133-4456-b609-a1eca8de0e19,8b4b6a8c-72b8-4399-80bd-d50ae3c9235c,transfer,Navarroside,credit,4346715500773069,0
696.81,2023-07-09 09:24:12,a78f4ca6-f4ef-4b09-ab7b-27ab5a410f75,9397a3da-d8ab-4a58-85de-ab7d9ca40437,purchase,Lake Anthony,debit,5720721841102838,0
803.16,2022-12-26 18:26:57,04cf22c6-7607-402e-b21e-eb7c02000790,fcca81ca-1540-497f-87ac-28f46f068166,transfer,North Bethanyton,credit,4416926412304509,1
194.78,2023-03-29 15:54:08,ad24e851-8465-40c8-9b4e-b48fbb4faaab,9d645dcb-026a-464e-8b71-689024703b68,refund,Port Roberta,debit,5681078850510697,1
55.53,2023-07-28 05:51:04,98c1ab05-8891-479b-95f2-7b820e539b24,2d1fdae2-099b-4fc2-9417-6be6497f8d26,transfer,Lake Melissaview,debit,5574898167559796,1
